Function of Space,Pressure Relationship to Adjacent Areas,Minimum Total ACH,Minimum Outdoor ACH,All Air Exhausted,Air Recirculated by Means of Room Unit,Design Relative Humidity (%),Design Temperature (°F/°C)
Resident room,NR,2,2,NR,NR,NR,70-75/21-24
Resident unit corridor,NR,2,2,NR,NR,NR,70-75/21-24
Darkroom,Negative,10,2,Yes,NR,NR,70-75/21-24
X-ray (diagnostic and treatment),Negative,6,2,NR,NR,Max 60,70-75/21-24
X-ray (surgical/care and catheterization),Positive,15,3,NR,No,Max 60,70-75/21-24
Autopsy room,Negative,12,2,Yes,Yes,NR,68-75/20-24
"Bronchoscopy/sputum collection, and pentamidine administration",Negative,12,2,Yes,Yes,NR,68-73/20-23
Dialysis treatment area,Negative,10,2,Yes,NR,NR,70-75/21-24
Dialyzer processing room,NR,4,2,NR,NR,NR,70-75/21-24
ECT procedure room,Negative,10,2,Yes,No,NR,70-75/21-24
Endoscope cleaning,Negative,6,2,Yes,NR,NR,70-75/21-24
Gastrointestinal endoscopy procedure room (x),Negative,6,2,Yes,NR,NR,70-75/21-24
General examination room,NR,6,2,Yes,NR,NR,70-75/21-24
Hydrotherapy,Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, bacteriology (f), (v)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, biochemistry (f), (v)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, cytology (f), (v)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, general (f), (v)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, glasswashing (f)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, histology (f), (v)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, microbiology (f), (v)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, nuclear medicine (f)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, pathology (f), (v)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, serology (f)",Negative,6,2,Yes,NR,NR,70-75/21-24
"Laboratory work area, sterilizing (f)",Negative,6,2,Yes,NR,NR,70-75/21-24
Nonrefrigerated body-holding room (d),Negative,4,2,Yes,No,Max 60,68-75/20-24
Nuclear medicine hot lab,Negative,6,2,Yes,No,20-60,68-73/20-23
Nuclear medicine treatment room,Negative,6,2,Yes,No,NR,70-75/21-24
Pharmacy (b),Positive,4,2,NR,NR,NR,NR
Physical therapy,Negative,6,2,Yes,No,Max 60,72-80/22-27
Special examination room (aa),Negative,6,2,Yes,No,Max 60,70-75/21-24
Treatment room,NR,6,2,Yes,NR,NR,70-75/21-24
Sterilizer equipment room,Negative,10,2,Yes,No,NR,NR
Clean workroom or clean holding,Positive,4,2,Yes,No,Max 60,68-73/20-23
Decontamination room,Negative,6,2,Yes,No,60-81/16-23,70-75/21-24
Sterile storage room,Positive,4,2,Yes,No,Max 60,70-75/21-24
Bathroom,Negative,10,2,Yes,No,NR,72-78/22-26
Bedpan room,Negative,10,2,Yes,No,NR,72-78/22-26
Clean linen storage,Positive,2,2,NR,No,NR,70-75/21-24
Dietary storage,Negative,2,2,NR,No,NR,70-75/21-24
Food preparation center (t),Negative,10,2,Yes,No,NR,72-78/22-26
Janitor’s closet,Negative,10,2,Yes,No,NR,72-78/22-26
"Laundry, general",Negative,10,2,Yes,No,NR,72-78/22-26
Linen and trash chute room,Negative,10,2,Yes,No,NR,72-78/22-26
Soiled linen sorting and storage,Negative,10,2,Yes,No,NR,72-78/22-26
Warewashing,Negative,10,2,Yes,No,NR,72-78/22-26
Clean workroom or clean holding,Positive,4,2,Yes,No,Max 60,70-75/21-24
Hazardous material storage,Negative,10,2,Yes,No,NR,70-75/21-24
Soiled workroom or soiled holding,Negative,10,2,Yes,No,NR,70-75/21-24
